target,year,coverage_value,coverage_type,coverage_area
Arab States,2024,94.9,Population covered by at least a 3G mobile network (%),Total
Asia-Pacific,2024,97.6,Population covered by at least a 3G mobile network (%),Total
CIS,2024,97.6,Population covered by at least a 3G mobile network (%),Total
Europe,2024,99.4,Population covered by at least a 3G mobile network (%),Total
World,2015,96.6,Population covered by at least a 3G mobile network (%),Urban
Low-income,2015,72.2,Population covered by at least a 3G mobile network (%),Urban
Lower-middle-income,2015,93.3,Population covered by at least a 3G mobile network (%),Urban
Upper-middle-income,2015,98.5,Population covered by at least a 3G mobile network (%),Urban
High-income,2015,99.9,Population covered by at least a 3G mobile network (%),Urban
Least Developed Countries (LDCs),2015,87,Population covered by at least a 3G mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2015,85.7,Population covered by at least a 3G mobile network (%),Urban
Small Island Developing States (SIDS),2015,73.7,Population covered by at least a 3G mobile network (%),Urban
Africa,2015,86.1,Population covered by at least a 3G mobile network (%),Urban
Americas,2015,97.8,Population covered by at least a 3G mobile network (%),Urban
Arab States,2015,92.5,Population covered by at least a 3G mobile network (%),Urban
Asia-Pacific,2015,98.6,Population covered by at least a 3G mobile network (%),Urban
CIS,2015,97.5,Population covered by at least a 3G mobile network (%),Urban
Europe,2015,97.1,Population covered by at least a 3G mobile network (%),Urban
World,2016,98.2,Population covered by at least a 3G mobile network (%),Urban
Low-income,2016,77.8,Population covered by at least a 3G mobile network (%),Urban
Lower-middle-income,2016,97.7,Population covered by at least a 3G mobile network (%),Urban
Upper-middle-income,2016,99.1,Population covered by at least a 3G mobile network (%),Urban
High-income,2016,100.0,Population covered by at least a 3G mobile network (%),Urban
Least Developed Countries (LDCs),2016,89.8,Population covered by at least a 3G mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2016,93.1,Population covered by at least a 3G mobile network (%),Urban
Small Island Developing States (SIDS),2016,75.0,Population covered by at least a 3G mobile network (%),Urban
Africa,2016,92.8,Population covered by at least a 3G mobile network (%),Urban
Americas,2016,98.5,Population covered by at least a 3G mobile network (%),Urban
Arab States,2016,97.9,Population covered by at least a 3G mobile network (%),Urban
Asia-Pacific,2016,98.6,Population covered by at least a 3G mobile network (%),Urban
CIS,2016,98.9,Population covered by at least a 3G mobile network (%),Urban
Europe,2016,100.0,Population covered by at least a 3G mobile network (%),Urban
World,2017,99.2,Population covered by at least a 3G mobile network (%),Urban
Low-income,2017,88.2,Population covered by at least a 3G mobile network (%),Urban
Lower-middle-income,2017,98.7,Population covered by at least a 3G mobile network (%),Urban
Upper-middle-income,2017,99.5,Population covered by at least a 3G mobile network (%),Urban
High-income,2017,100.0,Population covered by at least a 3G mobile network (%),Urban
Least Developed Countries (LDCs),2017,96.9,Population covered by at least a 3G mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2017,97.8,Population covered by at least a 3G mobile network (%),Urban
Small Island Developing States (SIDS),2017,87.5,Population covered by at least a 3G mobile network (%),Urban
Africa,2017,94.1,Population covered by at least a 3G mobile network (%),Urban
Americas,2017,99.2,Population covered by at least a 3G mobile network (%),Urban
Arab States,2017,98.3,Population covered by at least a 3G mobile network (%),Urban
Asia-Pacific,2017,99.2,Population covered by at least a 3G mobile network (%),Urban
CIS,2017,100.0,Population covered by at least a 3G mobile network (%),Urban
Europe,2017,100.0,Population covered by at least a 3G mobile network (%),Urban
World,2018,99.4,Population covered by at least a 3G mobile network (%),Urban
Low-income,2018,91.6,Population covered by at least a 3G mobile network (%),Urban
Lower-middle-income,2018,98.7,Population covered by at least a 3G mobile network (%),Urban
Upper-middle-income,2018,99.9,Population covered by at least a 3G mobile network (%),Urban
High-income,2018,100.0,Population covered by at least a 3G mobile network (%),Urban
Least Developed Countries (LDCs),2018,99.3,Population covered by at least a 3G mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2018,99.6,Population covered by at least a 3G mobile network (%),Urban
Small Island Developing States (SIDS),2018,96.5,Population covered by at least a 3G mobile network (%),Urban
Africa,2018,95.6,Population covered by at least a 3G mobile network (%),Urban
Americas,2018,99.4,Population covered by at least a 3G mobile network (%),Urban
Arab States,2018,99.4,Population covered by at least a 3G mobile network (%),Urban
Asia-Pacific,2018,99.2,Population covered by at least a 3G mobile network (%),Urban
CIS,2018,100.0,Population covered by at least a 3G mobile network (%),Urban
Europe,2018,100.0,Population covered by at least a 3G mobile network (%),Urban
World,2019,99.6,Population covered by at least a 3G mobile network (%),Urban
Low-income,2019,99.4,Population covered by at least a 3G mobile network (%),Urban
Lower-middle-income,2019,99.2,Population covered by at least a 3G mobile network (%),Urban
Upper-middle-income,2019,99.9,Population covered by at least a 3G mobile network (%),Urban
High-income,2019,100.0,Population covered by at least a 3G mobile network (%),Urban
Least Developed Countries (LDCs),2019,99.3,Population covered by at least a 3G mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2019,99.7,Population covered by at least a 3G mobile network (%),Urban
Small Island Developing States (SIDS),2019,96.9,Population covered by at least a 3G mobile network (%),Urban
Africa,2019,96.9,Population covered by at least a 3G mobile network (%),Urban
Americas,2019,99.4,Population covered by at least a 3G mobile network (%),Urban
Arab States,2019,99.4,Population covered by at least a 3G mobile network (%),Urban
Asia-Pacific,2019,99.5,Population covered by at least a 3G mobile network (%),Urban
CIS,2019,100.0,Population covered by at least a 3G mobile network (%),Urban
Europe,2019,100.0,Population covered by at least a 3G mobile network (%),Urban
World,2020,99.8,Population covered by at least a 3G mobile network (%),Urban
Low-income,2020,99.0,Population covered by at least a 3G mobile network (%),Urban
Lower-middle-income,2020,99.7,Population covered by at least a 3G mobile network (%),Urban
Upper-middle-income,2020,99.9,Population covered by at least a 3G mobile network (%),Urban
High-income,2020,100.0,Population covered by at least a 3G mobile network (%),Urban
Least Developed Countries (LDCs),2020,99.3,Population covered by at least a 3G mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2020,99.6,Population covered by at least a 3G mobile network (%),Urban
Small Island Developing States (SIDS),2020,97.6,Population covered by at least a 3G mobile network (%),Urban
Africa,2020,99.4,Population covered by at least a 3G mobile network (%),Urban
Americas,2020,99.7,Population covered by at least a 3G mobile network (%),Urban
Arab States,2020,99.3,Population covered by at least a 3G mobile network (%),Urban
Asia-Pacific,2020,100.0,Population covered by at least a 3G mobile network (%),Urban
CIS,2020,100.0,Population covered by at least a 3G mobile network (%),Urban
Europe,2020,100.0,Population covered by at least a 3G mobile network (%),Urban
World,2021,99.9,Population covered by at least a 3G mobile network (%),Urban
Low-income,2021,99.6,Population covered by at least a 3G mobile network (%),Urban
Lower-middle-income,2021,99.7,Population covered by at least a 3G mobile network (%),Urban
Upper-middle-income,2021,99.9,Population covered by at least a 3G mobile network (%),Urban
High-income,2021,100.0,Population covered by at least a 3G mobile network (%),Urban
Least Developed Countries (LDCs),2021,99.6,Population covered by at least a 3G mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2021,99.7,Population covered by at least a 3G mobile network (%),Urban
Small Island Developing States (SIDS),2021,98.7,Population covered by at least a 3G mobile network (%),Urban
Africa,2021,99.8,Population covered by at least a 3G mobile network (%),Urban
Americas,2021,99.7,Population covered by at least a 3G mobile network (%),Urban
Arab States,2021,99.2,Population covered by at least a 3G mobile network (%),Urban
Asia-Pacific,2021,100.0,Population covered by at least a 3G mobile network (%),Urban
CIS,2021,100.0,Population covered by at least a 3G mobile network (%),Urban
Europe,2021,100.0,Population covered by at least a 3G mobile network (%),Urban
World,2022,99.9,Population covered by at least a 3G mobile network (%),Urban
Low-income,2022,99.7,Population covered by at least a 3G mobile network (%),Urban
Lower-middle-income,2022,99.7,Population covered by at least a 3G mobile network (%),Urban
Upper-middle-income,2022,100.0,Population covered by at least a 3G mobile network (%),Urban
High-income,2022,100.0,Population covered by at least a 3G mobile network (%),Urban
Least Developed Countries (LDCs),2022,99.7,Population covered by at least a 3G mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2022,99.6,Population covered by at least a 3G mobile network (%),Urban
Small Island Developing States (SIDS),2022,99.1,Population covered by at least a 3G mobile network (%),Urban
Africa,2022,99.8,Population covered by at least a 3G mobile network (%),Urban
Americas,2022,99.7,Population covered by at least a 3G mobile network (%),Urban
Arab States,2022,99.4,Population covered by at least a 3G mobile network (%),Urban
Asia-Pacific,2022,100.0,Population covered by at least a 3G mobile network (%),Urban
CIS,2022,100.0,Population covered by at least a 3G mobile network (%),Urban
Europe,2022,100.0,Population covered by at least a 3G mobile network (%),Urban
World,2023,99.9,Population covered by at least a 3G mobile network (%),Urban
Low-income,2023,99.9,Population covered by at least a 3G mobile network (%),Urban
Lower-middle-income,2023,99.8,Population covered by at least a 3G mobile network (%),Urban
Upper-middle-income,2023,100.0,Population covered by at least a 3G mobile network (%),Urban
High-income,2023,100.0,Population covered by at least a 3G mobile network (%),Urban
Least Developed Countries (LDCs),2023,99.9,Population covered by at least a 3G mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2023,99.8,Population covered by at least a 3G mobile network (%),Urban
Small Island Developing States (SIDS),2023,99.1,Population covered by at least a 3G mobile network (%),Urban
Africa,2023,99.9,Population covered by at least a 3G mobile network (%),Urban
Americas,2023,99.7,Population covered by at least a 3G mobile network (%),Urban
Arab States,2023,99.6,Population covered by at least a 3G mobile network (%),Urban
Asia-Pacific,2023,100.0,Population covered by at least a 3G mobile network (%),Urban
CIS,2023,100.0,Population covered by at least a 3G mobile network (%),Urban
Europe,2023,100.0,Population covered by at least a 3G mobile network (%),Urban
World,2024,99.9,Population covered by at least a 3G mobile network (%),Urban
Low-income,2024,99.8,Population covered by at least a 3G mobile network (%),Urban
Lower-middle-income,2024,99.8,Population covered by at least a 3G mobile network (%),Urban
Upper-middle-income,2024,100.0,Population covered by at least a 3G mobile network (%),Urban
High-income,2024,100.0,Population covered by at least a 3G mobile network (%),Urban
Least Developed Countries (LDCs),2024,99.9,Population covered by at least a 3G mobile network (%),Urban
Land Locked Developing Countries (LLDCs),2024,99.8,Population covered by at least a 3G mobile network (%),Urban
Small Island Developing States (SIDS),2024,99.2,Population covered by at least a 3G mobile network (%),Urban
Africa,2024,99.9,Population covered by at least a 3G mobile network (%),Urban
Americas,2024,99.7,Population covered by at least a 3G mobile network (%),Urban
Arab States,2024,99.6,Population covered by at least a 3G mobile network (%),Urban
Asia-Pacific,2024,100.0,Population covered by at least a 3G mobile network (%),Urban
CIS,2024,100.0,Population covered by at least a 3G mobile network (%),Urban
Europe,2024,100.0,Population covered by at least a 3G mobile network (%),Urban
World,2015,57.1,Population covered by at least a 3G mobile network (%),Rural
Low-income,2015,27.2,Population covered by at least a 3G mobile network (%),Rural
Lower-middle-income,2015,51.1,Population covered by at least a 3G mobile network (%),Rural
Upper-middle-income,2015,70.3,Population covered by at least a 3G mobile network (%),Rural
High-income,2015,81.3,Population covered by at least a 3G mobile network (%),Rural
Least Developed Countries (LDCs),2015,37.4,Population covered by at least a 3G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2015,34.4,Population covered by at least a 3G mobile network (%),Rural
Small Island Developing States (SIDS),2015,42.2,Population covered by at least a 3G mobile network (%),Rural
Africa,2015,29.7,Population covered by at least a 3G mobile network (%),Rural
Americas,2015,65.1,Population covered by at least a 3G mobile network (%),Rural
Arab States,2015,53.5,Population covered by at least a 3G mobile network (%),Rural
Asia-Pacific,2015,62.9,Population covered by at least a 3G mobile network (%),Rural
CIS,2015,17.6,Population covered by at least a 3G mobile network (%),Rural
Europe,2015,86.3,Population covered by at least a 3G mobile network (%),Rural
World,2016,68.2,Population covered by at least a 3G mobile network (%),Rural
Low-income,2016,35.6,Population covered by at least a 3G mobile network (%),Rural
Lower-middle-income,2016,65.2,Population covered by at least a 3G mobile network (%),Rural
Upper-middle-income,2016,80.6,Population covered by at least a 3G mobile network (%),Rural
High-income,2016,82.7,Population covered by at least a 3G mobile network (%),Rural
Least Developed Countries (LDCs),2016,48.4,Population covered by at least a 3G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2016,42.9,Population covered by at least a 3G mobile network (%),Rural
Small Island Developing States (SIDS),2016,46.1,Population covered by at least a 3G mobile network (%),Rural
Africa,2016,37.4,Population covered by at least a 3G mobile network (%),Rural
Americas,2016,69.5,Population covered by at least a 3G mobile network (%),Rural
Arab States,2016,63.3,Population covered by at least a 3G mobile network (%),Rural
Asia-Pacific,2016,76.3,Population covered by at least a 3G mobile network (%),Rural
CIS,2016,26.9,Population covered by at least a 3G mobile network (%),Rural
Europe,2016,92.1,Population covered by at least a 3G mobile network (%),Rural
World,2017,74.3,Population covered by at least a 3G mobile network (%),Rural
Low-income,2017,40.0,Population covered by at least a 3G mobile network (%),Rural
Lower-middle-income,2017,72.7,Population covered by at least a 3G mobile network (%),Rural
Upper-middle-income,2017,86.5,Population covered by at least a 3G mobile network (%),Rural
High-income,2017,84.0,Population covered by at least a 3G mobile network (%),Rural
Least Developed Countries (LDCs),2017,53.0,Population covered by at least a 3G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2017,50.2,Population covered by at least a 3G mobile network (%),Rural
Small Island Developing States (SIDS),2017,48.7,Population covered by at least a 3G mobile network (%),Rural
Africa,2017,42.0,Population covered by at least a 3G mobile network (%),Rural
Americas,2017,72.0,Population covered by at least a 3G mobile network (%),Rural
Arab States,2017,71.2,Population covered by at least a 3G mobile network (%),Rural
Asia-Pacific,2017,83.3,Population covered by at least a 3G mobile network (%),Rural
CIS,2017,41.4,Population covered by at least a 3G mobile network (%),Rural
Europe,2017,92.8,Population covered by at least a 3G mobile network (%),Rural
World,2018,80.1,Population covered by at least a 3G mobile network (%),Rural
Low-income,2018,44.5,Population covered by at least a 3G mobile network (%),Rural
Lower-middle-income,2018,81.0,Population covered by at least a 3G mobile network (%),Rural
Upper-middle-income,2018,90.7,Population covered by at least a 3G mobile network (%),Rural
High-income,2018,84.6,Population covered by at least a 3G mobile network (%),Rural
Least Developed Countries (LDCs),2018,57.6,Population covered by at least a 3G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2018,54.7,Population covered by at least a 3G mobile network (%),Rural
Small Island Developing States (SIDS),2018,53.0,Population covered by at least a 3G mobile network (%),Rural
Africa,2018,53.1,Population covered by at least a 3G mobile network (%),Rural
Americas,2018,72.5,Population covered by at least a 3G mobile network (%),Rural
Arab States,2018,76.2,Population covered by at least a 3G mobile network (%),Rural
Asia-Pacific,2018,88.9,Population covered by at least a 3G mobile network (%),Rural
CIS,2018,44.5,Population covered by at least a 3G mobile network (%),Rural
Europe,2018,93.3,Population covered by at least a 3G mobile network (%),Rural
World,2019,83.8,Population covered by at least a 3G mobile network (%),Rural
Low-income,2019,51.2,Population covered by at least a 3G mobile network (%),Rural
Lower-middle-income,2019,85.3,Population covered by at least a 3G mobile network (%),Rural
Upper-middle-income,2019,91.7,Population covered by at least a 3G mobile network (%),Rural
High-income,2019,91.0,Population covered by at least a 3G mobile network (%),Rural
Least Developed Countries (LDCs),2019,61.6,Population covered by at least a 3G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2019,60.9,Population covered by at least a 3G mobile network (%),Rural
Small Island Developing States (SIDS),2019,53.2,Population covered by at least a 3G mobile network (%),Rural
Africa,2019,59.1,Population covered by at least a 3G mobile network (%),Rural
Americas,2019,73.0,Population covered by at least a 3G mobile network (%),Rural
Arab States,2019,77.5,Population covered by at least a 3G mobile network (%),Rural
Asia-Pacific,2019,92.5,Population covered by at least a 3G mobile network (%),Rural
CIS,2019,64.1,Population covered by at least a 3G mobile network (%),Rural
Europe,2019,93.5,Population covered by at least a 3G mobile network (%),Rural
World,2020,84.5,Population covered by at least a 3G mobile network (%),Rural
Low-income,2020,55.5,Population covered by at least a 3G mobile network (%),Rural
Lower-middle-income,2020,87.0,Population covered by at least a 3G mobile network (%),Rural
Upper-middle-income,2020,91.6,Population covered by at least a 3G mobile network (%),Rural
High-income,2020,92.0,Population covered by at least a 3G mobile network (%),Rural
Least Developed Countries (LDCs),2020,63.7,Population covered by at least a 3G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2020,62.5,Population covered by at least a 3G mobile network (%),Rural
Small Island Developing States (SIDS),2020,53.5,Population covered by at least a 3G mobile network (%),Rural
Africa,2020,59.2,Population covered by at least a 3G mobile network (%),Rural
Americas,2020,72.2,Population covered by at least a 3G mobile network (%),Rural
Arab States,2020,82.4,Population covered by at least a 3G mobile network (%),Rural
Asia-Pacific,2020,93.0,Population covered by at least a 3G mobile network (%),Rural
CIS,2020,70.4,Population covered by at least a 3G mobile network (%),Rural
Europe,2020,94.9,Population covered by at least a 3G mobile network (%),Rural
World,2021,85.8,Population covered by at least a 3G mobile network (%),Rural
Low-income,2021,55.5,Population covered by at least a 3G mobile network (%),Rural
Lower-middle-income,2021,89.0,Population covered by at least a 3G mobile network (%),Rural
Upper-middle-income,2021,91.7,Population covered by at least a 3G mobile network (%),Rural
High-income,2021,96.3,Population covered by at least a 3G mobile network (%),Rural
Least Developed Countries (LDCs),2021,64.1,Population covered by at least a 3G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2021,65.2,Population covered by at least a 3G mobile network (%),Rural
Small Island Developing States (SIDS),2021,53.1,Population covered by at least a 3G mobile network (%),Rural
Africa,2021,64.2,Population covered by at least a 3G mobile network (%),Rural
Americas,2021,72.2,Population covered by at least a 3G mobile network (%),Rural
Arab States,2021,80.0,Population covered by at least a 3G mobile network (%),Rural
Asia-Pacific,2021,93.2,Population covered by at least a 3G mobile network (%),Rural
CIS,2021,86.9,Population covered by at least a 3G mobile network (%),Rural
Europe,2021,96.1,Population covered by at least a 3G mobile network (%),Rural
World,2022,87.3,Population covered by at least a 3G mobile network (%),Rural
Low-income,2022,61.8,Population covered by at least a 3G mobile network (%),Rural
Lower-middle-income,2022,90.1,Population covered by at least a 3G mobile network (%),Rural
Upper-middle-income,2022,92.5,Population covered by at least a 3G mobile network (%),Rural
High-income,2022,96.1,Population covered by at least a 3G mobile network (%),Rural
Least Developed Countries (LDCs),2022,68.4,Population covered by at least a 3G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2022,72.0,Population covered by at least a 3G mobile network (%),Rural
Small Island Developing States (SIDS),2022,56.2,Population covered by at least a 3G mobile network (%),Rural
Africa,2022,68.5,Population covered by at least a 3G mobile network (%),Rural
Americas,2022,75.7,Population covered by at least a 3G mobile network (%),Rural
Arab States,2022,83.1,Population covered by at least a 3G mobile network (%),Rural
Asia-Pacific,2022,93.7,Population covered by at least a 3G mobile network (%),Rural
CIS,2022,88.9,Population covered by at least a 3G mobile network (%),Rural
Europe,2022,96.4,Population covered by at least a 3G mobile network (%),Rural
World,2023,89.4,Population covered by at least a 3G mobile network (%),Rural
Low-income,2023,68.0,Population covered by at least a 3G mobile network (%),Rural
Lower-middle-income,2023,91.7,Population covered by at least a 3G mobile network (%),Rural
Upper-middle-income,2023,94.0,Population covered by at least a 3G mobile network (%),Rural
High-income,2023,97.1,Population covered by at least a 3G mobile network (%),Rural
Least Developed Countries (LDCs),2023,74.6,Population covered by at least a 3G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2023,77.7,Population covered by at least a 3G mobile network (%),Rural
Small Island Developing States (SIDS),2023,60.7,Population covered by at least a 3G mobile network (%),Rural
Africa,2023,73.7,Population covered by at least a 3G mobile network (%),Rural
Americas,2023,76.5,Population covered by at least a 3G mobile network (%),Rural
Arab States,2023,87.6,Population covered by at least a 3G mobile network (%),Rural
Asia-Pacific,2023,94.9,Population covered by at least a 3G mobile network (%),Rural
CIS,2023,92.7,Population covered by at least a 3G mobile network (%),Rural
Europe,2023,97.4,Population covered by at least a 3G mobile network (%),Rural
World,2024,89.8,Population covered by at least a 3G mobile network (%),Rural
Low-income,2024,69.5,Population covered by at least a 3G mobile network (%),Rural
Lower-middle-income,2024,92.1,Population covered by at least a 3G mobile network (%),Rural
Upper-middle-income,2024,93.9,Population covered by at least a 3G mobile network (%),Rural
High-income,2024,97.1,Population covered by at least a 3G mobile network (%),Rural
Least Developed Countries (LDCs),2024,75.9,Population covered by at least a 3G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2024,79.4,Population covered by at least a 3G mobile network (%),Rural
Small Island Developing States (SIDS),2024,60.8,Population covered by at least a 3G mobile network (%),Rural
Africa,2024,75.0,Population covered by at least a 3G mobile network (%),Rural
Americas,2024,76.4,Population covered by at least a 3G mobile network (%),Rural
Arab States,2024,87.9,Population covered by at least a 3G mobile network (%),Rural
Asia-Pacific,2024,95.1,Population covered by at least a 3G mobile network (%),Rural
CIS,2024,92.9,Population covered by at least a 3G mobile network (%),Rural
Europe,2024,97.6,Population covered by at least a 3G mobile network (%),Rural
World,2015,43.5,Population covered by at least an LTE/WiMAX mobile network (%),Total
Low-income,2015,4.3,Population covered by at least an LTE/WiMAX mobile network (%),Total
Lower-middle-income,2015,12.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
Upper-middle-income,2015,60.5,Population covered by at least an LTE/WiMAX mobile network (%),Total
High-income,2015,89.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
Least Developed Countries (LDCs),2015,15.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
Land Locked Developing Countries (LLDCs),2015,12.1,Population covered by at least an LTE/WiMAX mobile network (%),Total
Small Island Developing States (SIDS),2015,35.1,Population covered by at least an LTE/WiMAX mobile network (%),Total
Africa,2015,11.1,Population covered by at least an LTE/WiMAX mobile network (%),Total
Americas,2015,73,Population covered by at least an LTE/WiMAX mobile network (%),Total
Arab States,2015,18.2,Population covered by at least an LTE/WiMAX mobile network (%),Total
Asia-Pacific,2015,41.3,Population covered by at least an LTE/WiMAX mobile network (%),Total
CIS,2015,42.8,Population covered by at least an LTE/WiMAX mobile network (%),Total
Europe,2015,73.6,Population covered by at least an LTE/WiMAX mobile network (%),Total
World,2016,63.8,Population covered by at least an LTE/WiMAX mobile network (%),Total
Low-income,2016,8.1,Population covered by at least an LTE/WiMAX mobile network (%),Total
Lower-middle-income,2016,50.5,Population covered by at least an LTE/WiMAX mobile network (%),Total
Upper-middle-income,2016,75.2,Population covered by at least an LTE/WiMAX mobile network (%),Total
High-income,2016,92.1,Population covered by at least an LTE/WiMAX mobile network (%),Total
Least Developed Countries (LDCs),2016,19.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
Land Locked Developing Countries (LLDCs),2016,18.6,Population covered by at least an LTE/WiMAX mobile network (%),Total
Small Island Developing States (SIDS),2016,40.3,Population covered by at least an LTE/WiMAX mobile network (%),Total
Africa,2016,15.0,Population covered by at least an LTE/WiMAX mobile network (%),Total
Americas,2016,77.8,Population covered by at least an LTE/WiMAX mobile network (%),Total
Arab States,2016,26.5,Population covered by at least an LTE/WiMAX mobile network (%),Total
Asia-Pacific,2016,72.3,Population covered by at least an LTE/WiMAX mobile network (%),Total
CIS,2016,52.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
Europe,2016,86.5,Population covered by at least an LTE/WiMAX mobile network (%),Total
World,2017,74.5,Population covered by at least an LTE/WiMAX mobile network (%),Total
Low-income,2017,10.6,Population covered by at least an LTE/WiMAX mobile network (%),Total
Lower-middle-income,2017,68.0,Population covered by at least an LTE/WiMAX mobile network (%),Total
Upper-middle-income,2017,85.7,Population covered by at least an LTE/WiMAX mobile network (%),Total
High-income,2017,94.0,Population covered by at least an LTE/WiMAX mobile network (%),Total
Least Developed Countries (LDCs),2017,23.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
Land Locked Developing Countries (LLDCs),2017,24.6,Population covered by at least an LTE/WiMAX mobile network (%),Total
Small Island Developing States (SIDS),2017,51.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
Africa,2017,17.9,Population covered by at least an LTE/WiMAX mobile network (%),Total
Americas,2017,82.3,Population covered by at least an LTE/WiMAX mobile network (%),Total
Arab States,2017,49.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
Asia-Pacific,2017,86.9,Population covered by at least an LTE/WiMAX mobile network (%),Total
CIS,2017,60.5,Population covered by at least an LTE/WiMAX mobile network (%),Total
Europe,2017,89.6,Population covered by at least an LTE/WiMAX mobile network (%),Total
World,2018,79.3,Population covered by at least an LTE/WiMAX mobile network (%),Total
Low-income,2018,14.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
Lower-middle-income,2018,75.2,Population covered by at least an LTE/WiMAX mobile network (%),Total
Upper-middle-income,2018,90.2,Population covered by at least an LTE/WiMAX mobile network (%),Total
High-income,2018,95.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
Least Developed Countries (LDCs),2018,30.7,Population covered by at least an LTE/WiMAX mobile network (%),Total
Land Locked Developing Countries (LLDCs),2018,27.8,Population covered by at least an LTE/WiMAX mobile network (%),Total
Small Island Developing States (SIDS),2018,54.8,Population covered by at least an LTE/WiMAX mobile network (%),Total
Africa,2018,24.3,Population covered by at least an LTE/WiMAX mobile network (%),Total
Americas,2018,87.6,Population covered by at least an LTE/WiMAX mobile network (%),Total
Arab States,2018,59.8,Population covered by at least an LTE/WiMAX mobile network (%),Total
Asia-Pacific,2018,91.2,Population covered by at least an LTE/WiMAX mobile network (%),Total
CIS,2018,66.9,Population covered by at least an LTE/WiMAX mobile network (%),Total
Europe,2018,91.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
World,2019,82.9,Population covered by at least an LTE/WiMAX mobile network (%),Total
Low-income,2019,20.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
Lower-middle-income,2019,80.1,Population covered by at least an LTE/WiMAX mobile network (%),Total
Upper-middle-income,2019,93.0,Population covered by at least an LTE/WiMAX mobile network (%),Total
High-income,2019,97.7,Population covered by at least an LTE/WiMAX mobile network (%),Total
Least Developed Countries (LDCs),2019,36.6,Population covered by at least an LTE/WiMAX mobile network (%),Total
Land Locked Developing Countries (LLDCs),2019,36.2,Population covered by at least an LTE/WiMAX mobile network (%),Total
Small Island Developing States (SIDS),2019,60.5,Population covered by at least an LTE/WiMAX mobile network (%),Total
Africa,2019,33.6,Population covered by at least an LTE/WiMAX mobile network (%),Total
Americas,2019,90.2,Population covered by at least an LTE/WiMAX mobile network (%),Total
Arab States,2019,61.8,Population covered by at least an LTE/WiMAX mobile network (%),Total
Asia-Pacific,2019,93.3,Population covered by at least an LTE/WiMAX mobile network (%),Total
CIS,2019,80.3,Population covered by at least an LTE/WiMAX mobile network (%),Total
Europe,2019,97.5,Population covered by at least an LTE/WiMAX mobile network (%),Total
World,2020,85.3,Population covered by at least an LTE/WiMAX mobile network (%),Total
Low-income,2020,27.7,Population covered by at least an LTE/WiMAX mobile network (%),Total
Lower-middle-income,2020,83.2,Population covered by at least an LTE/WiMAX mobile network (%),Total
Upper-middle-income,2020,95.2,Population covered by at least an LTE/WiMAX mobile network (%),Total
High-income,2020,98.1,Population covered by at least an LTE/WiMAX mobile network (%),Total
Least Developed Countries (LDCs),2020,44.6,Population covered by at least an LTE/WiMAX mobile network (%),Total
Land Locked Developing Countries (LLDCs),2020,39.6,Population covered by at least an LTE/WiMAX mobile network (%),Total
Small Island Developing States (SIDS),2020,64.3,Population covered by at least an LTE/WiMAX mobile network (%),Total
Africa,2020,41.3,Population covered by at least an LTE/WiMAX mobile network (%),Total
Americas,2020,91.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
Arab States,2020,72.5,Population covered by at least an LTE/WiMAX mobile network (%),Total
Asia-Pacific,2020,94.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
CIS,2020,84.2,Population covered by at least an LTE/WiMAX mobile network (%),Total
Europe,2020,97.7,Population covered by at least an LTE/WiMAX mobile network (%),Total
World,2021,86.8,Population covered by at least an LTE/WiMAX mobile network (%),Total
Low-income,2021,29.4,Population covered by at least an LTE/WiMAX mobile network (%),Total
Lower-middle-income,2021,86.5,Population covered by at least an LTE/WiMAX mobile network (%),Total
